nama_provinsi,persentase_PDRB_harga_berlaku,indeks_daya_saing_digital,persentase_penggunaan_komputer,persentase_memiliki/menguasai_telepon_seluler,persentase_akses_internet,persentase_penduduk_lakilaki_akses_internet,persentase_penduduk_perempuan_akses_internet,anggaran_lingkungan_hidup(juta)
Aceh,1.09,29.4,9.99,61.2,49.23,53.16,45.32,13367
Sumatera Utara,5.07,34.2,10.55,65.05,59.17,61.11,57.24,24413
Sumatera Barat,1.49,34.5,13.95,65.34,58.14,60.08,56.21,20963
Riau,4.95,32.1,11.02,70.57,62.83,65.26,60.3,140582
Jambi,1.37,30.9,11.13,67.32,56.07,58.79,53.28,11647
Sumatera Selatan,2.91,30.8,8.56,64.53,56.89,59.48,54.25,297546
Bengkulu,0.47,31.3,11.77,64.34,54.97,56.56,53.3,1140
Lampung,2.19,29.6,7.27,63.83,59.94,61.84,57.96,708981
Kepulauan Bangka Belitung,0.51,29.8,10.69,68.22,60.94,60.93,60.94,7076
Kepulauan Riau,1.63,43,20.53,80.51,81.03,81.36,80.71,4533
DKI Jakarta,17.18,77.6,23.87,81.83,85.55,88.31,82.82,4063993
Jawa Barat,13.01,57.1,12.31,67.83,68.37,71.41,65.25,95298
Jawa Tengah,8.38,42.6,9.33,62.76,62.2,65.79,58.67,223819
Daerah Istimewa Yogyakarta,0.88,47.5,20.17,69.81,74,76.82,71.23,85237
Jawa Timur,14.48,48,10.44,62.99,59.34,63.34,55.45,3816228
Banten,3.93,47.7,11.8,68.2,67.14,71.1,63.04,55051
Bali,1.3,47.7,14.52,71.65,67.75,73.02,62.44,29900
Nusa Tenggara Barat,0.83,30.7,9.99,59.16,52.96,56.83,49.24,12436
Nusa Tenggara Timur,0.65,29.3,10.9,51.92,43.14,45.59,40.75,103722
Kalimantan Barat,1.36,26.6,8.47,62.39,54.8,58.16,51.32,834075
Kalimantan Tengah,1,29.4,10.86,71.62,59.97,62.98,56.72,15067
Kalimantan Selatan,1.17,32.6,11.55,69.49,66.01,69.51,62.45,1546
Kalimantan Timur,4.11,39.5,17.56,81.1,74.47,76.02,72.8,30539
Kalimantan Utara,0.66,32.8,14.51,76.02,69.26,70.39,67.99,15059
Sulawesi Utara,0.84,35.9,12.38,70.32,59.73,59.06,60.42,54124
Sulawesi Tengah,1.46,30.7,10.72,61.1,50.15,50.25,50.05,9453
Sulawesi Selatan,3.21,40.7,13.28,69.13,59.69,61.6,57.88,1546
Sulawesi Tenggara,0.82,32,12.32,68.22,57.21,59.01,55.41,160569
Gorontalo,0.26,32.3,11.83,64.64,56.03,54.99,57.07,19860
Sulawesi Barat,0.3,22.9,10.06,59.51,48.73,50.59,46.87,16725
Maluku,0.29,30.1,12.59,62.41,49.74,51.87,47.57,20941
Maluku Utara,0.31,26.5,9.52,59.08,42.68,44.24,41.07,12673
Papua Barat,0.5,27.6,12.26,68.11,54.61,56.89,52.11,54749
Papua,1.39,22,6.39,38.94,26.49,27.89,24.93,76589